Ticker,RS,Volume SMA 5,Volume SMA 20,Volume SMA 5 Rank,Volume SMA 20 Rank
KROS,94.37111801242236,382220.0,408385.0,2537.0,2626.0
OPXS,94.37111801242236,14740.0,19245.0,5474.0,5373.0
TPG,94.37111801242236,635120.0,932870.0,1979.0,1656.0
ANAB,94.37111801242236,301460.0,276115.0,2811.0,3058.0
WSM,94.37111801242236,1301060.0,1563710.0,1182.0,1116.0
CRNX,94.37111801242236,570700.0,663300.0,2089.0,2060.0
WHLRP,94.37111801242236,19660.0,16165.0,5289.0,5494.0
PIPR,94.37111801242236,77980.0,98510.0,4193.0,4049.0
CRDF,94.37111801242236,600800.0,537185.0,2035.0,2280.0
EOLS,94.22360248447205,625620.0,677725.0,1995.0,2032.0
BURL,94.22360248447205,924540.0,767655.0,1537.0,1872.0
ELYM,94.22360248447205,842620.0,1024765.0,1654.0,1547.0
FUTU,94.22360248447205,14188900.0,4797480.0,113.0,387.0
PAYS,94.22360248447205,240020.0,155420.0,3045.0,3619.0
PDEX,94.22360248447205,39400.0,33580.0,4790.0,4954.0
CHEF,94.22360248447205,333120.0,337525.0,2706.0,2843.0
CGEM,94.22360248447205,436560.0,676680.0,2381.0,2034.0
THRD,94.22360248447205,100220.0,326745.0,3943.0,2864.0
MLI,94.08385093167702,717200.0,921170.0,1832.0,1668.0
HUYA,94.08385093167702,2659220.0,1536120.0,628.0,1139.0
TT,94.08385093167702,996080.0,1054290.0,1453.0,1512.0
HOV,94.08385093167702,51600.0,76290.0,4568.0,4281.0
SPXC,94.08385093167702,158340.0,247535.0,3479.0,3166.0
XOMA,94.08385093167702,34520.0,27300.0,4888.0,5123.5
JMIA,94.08385093167702,3960120.0,2451710.0,439.0,728.0
PHM,94.08385093167702,1234980.0,2002185.0,1246.0,911.0
DDL,94.08385093167702,2495820.0,1484470.0,674.0,1175.0
JLL,93.90527950310559,262480.0,284695.0,2948.0,3027.0
LPX,93.90527950310559,466660.0,617855.0,2299.0,2128.0
WLGS,93.90527950310559,62760.0,453795.0,4390.0,2506.0
SLVM,93.90527950310559,469600.0,468030.0,2294.0,2459.0
PEPG,93.90527950310559,180480.0,127155.0,3332.0,3810.0
MTEK,93.90527950310559,41640.0,21905.0,4745.0,5289.0
PBI,93.90527950310559,1371920.0,1611300.0,1139.0,1090.0
PSN,93.90527950310559,917760.0,1255405.0,1544.0,1338.0
INBK,93.90527950310559,59960.0,37750.0,4420.5,4864.0
XBIT,93.90527950310559,49960.0,53155.0,4601.0,4587.0
MAMA,93.90527950310559,272260.0,343825.0,2916.0,2827.0
TATT,93.90527950310559,14760.0,14915.0,5471.5,5533.0
SPR,93.90527950310559,1471440.0,1433455.0,1081.0,1207.0
RCRT,93.90527950310559,226681.2,68105.35,3101.0,4378.0
GPS,93.75,5482504.0,5968898.8,325.0,298.0
STEP,93.75,691180.0,857270.0,1873.0,1743.0
ADSE,93.75,143680.0,123495.0,3601.5,3837.0
BZFD,93.75,206880.0,354570.0,3184.0,2793.0
DKS,93.75,980020.0,971485.0,1471.0,1611.0
KARO,93.75,19180.0,25235.0,5307.0,5178.0
SLG,93.64906832298136,912300.0,755145.0,1549.0,1897.0
SKE,93.64906832298136,374960.0,368165.0,2563.0,2743.0
UFPT,93.64906832298136,53580.0,54335.0,4530.0,4572.0
TCOM,93.64906832298136,13675700.0,6460705.0,118.0,276.0
TCRX,93.64906832298136,279180.0,223760.0,2889.0,3258.0
PWP,93.64906832298136,355260.0,347980.0,2634.0,2815.0
PLMR,93.64906832298136,141840.0,164500.0,3611.0,3566.0
EDN,93.54813664596273,101620.0,93835.0,3931.0,4090.0
CRDO,93.54813664596273,1951220.0,2998895.0,851.0,601.0
PATK,93.54813664596273,140220.0,224395.0,3623.5,3255.0
